CNTD(calc-View parameter)-value,CNTD(calc-View parameter)-alias,BEGIN WEEK-value,BEGIN WEEK-alias,BEGIN WEEK-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_494551568834834435:nk]-value,BEGIN WEEK-[HC CASES FILED AND ATTY (1) (copy)].[none:Calculation_494551568834834435:nk]-alias,CNTD(calc-View parameter (copy))-alias,for-Color-alias
348,348,7/2/2023,7/2/2023,7/2/2023,7/2/2023,348,2023 Q3
571,571,6/25/2023,6/25/2023,6/25/2023,6/25/2023,571,2023 Q2
478,478,6/18/2023,6/18/2023,6/18/2023,6/18/2023,478,2023 Q2
402,402,6/11/2023,6/11/2023,6/11/2023,6/11/2023,402,2023 Q2
495,495,6/4/2023,6/4/2023,6/4/2023,6/4/2023,495,2023 Q2
448,448,5/28/2023,5/28/2023,5/28/2023,5/28/2023,448,2023 Q2
586,586,5/21/2023,5/21/2023,5/21/2023,5/21/2023,586,2023 Q2
475,475,5/14/2023,5/14/2023,5/14/2023,5/14/2023,475,2023 Q2
508,508,5/7/2023,5/7/2023,5/7/2023,5/7/2023,508,2023 Q2
527,527,4/30/2023,4/30/2023,4/30/2023,4/30/2023,527,2023 Q2
461,461,4/23/2023,4/23/2023,4/23/2023,4/23/2023,461,2023 Q2
441,441,4/16/2023,4/16/2023,4/16/2023,4/16/2023,441,2023 Q2
656,656,4/9/2023,4/9/2023,4/9/2023,4/9/2023,656,2023 Q2
579,579,4/2/2023,4/2/2023,4/2/2023,4/2/2023,579,2023 Q2
602,602,3/26/2023,3/26/2023,3/26/2023,3/26/2023,602,2023 Q1
568,568,3/19/2023,3/19/2023,3/19/2023,3/19/2023,568,2023 Q1
568,568,3/12/2023,3/12/2023,3/12/2023,3/12/2023,568,2023 Q1
537,537,3/5/2023,3/5/2023,3/5/2023,3/5/2023,537,2023 Q1
516,516,2/26/2023,2/26/2023,2/26/2023,2/26/2023,516,2023 Q1
375,375,2/19/2023,2/19/2023,2/19/2023,2/19/2023,375,2023 Q1
732,732,2/12/2023,2/12/2023,2/12/2023,2/12/2023,732,2023 Q1
580,580,2/5/2023,2/5/2023,2/5/2023,2/5/2023,580,2023 Q1
714,714,1/29/2023,1/29/2023,1/29/2023,1/29/2023,714,2023 Q1
569,569,1/22/2023,1/22/2023,1/22/2023,1/22/2023,569,2023 Q1
518,518,1/15/2023,1/15/2023,1/15/2023,1/15/2023,518,2023 Q1
560,560,1/8/2023,1/8/2023,1/8/2023,1/8/2023,560,2023 Q1
426,426,1/1/2023,1/1/2023,1/1/2023,1/1/2023,426,2023 Q1
433,433,12/25/2022,12/25/2022,12/25/2022,12/25/2022,433,2022 Q4
832,832,12/18/2022,12/18/2022,12/18/2022,12/18/2022,832,2022 Q4
658,658,12/11/2022,12/11/2022,12/11/2022,12/11/2022,658,2022 Q4
466,466,12/4/2022,12/4/2022,12/4/2022,12/4/2022,466,2022 Q4
596,596,11/27/2022,11/27/2022,11/27/2022,11/27/2022,596,2022 Q4
475,475,11/20/2022,11/20/2022,11/20/2022,11/20/2022,475,2022 Q4
525,525,11/13/2022,11/13/2022,11/13/2022,11/13/2022,525,2022 Q4
556,556,11/6/2022,11/6/2022,11/6/2022,11/6/2022,556,2022 Q4
570,570,10/30/2022,10/30/2022,10/30/2022,10/30/2022,570,2022 Q4
506,506,10/23/2022,10/23/2022,10/23/2022,10/23/2022,506,2022 Q4
502,502,10/16/2022,10/16/2022,10/16/2022,10/16/2022,502,2022 Q4
433,433,10/9/2022,10/9/2022,10/9/2022,10/9/2022,433,2022 Q4
636,636,10/2/2022,10/2/2022,10/2/2022,10/2/2022,636,2022 Q4
436,436,9/25/2022,9/25/2022,9/25/2022,9/25/2022,436,2022 Q3
499,499,9/18/2022,9/18/2022,9/18/2022,9/18/2022,499,2022 Q3
445,445,9/11/2022,9/11/2022,9/11/2022,9/11/2022,445,2022 Q3
381,381,9/4/2022,9/4/2022,9/4/2022,9/4/2022,381,2022 Q3
493,493,8/28/2022,8/28/2022,8/28/2022,8/28/2022,493,2022 Q3
442,442,8/21/2022,8/21/2022,8/21/2022,8/21/2022,442,2022 Q3
384,384,8/14/2022,8/14/2022,8/14/2022,8/14/2022,384,2022 Q3
424,424,8/7/2022,8/7/2022,8/7/2022,8/7/2022,424,2022 Q3
420,420,7/31/2022,7/31/2022,7/31/2022,7/31/2022,420,2022 Q3
430,430,7/24/2022,7/24/2022,7/24/2022,7/24/2022,430,2022 Q3
368,368,7/17/2022,7/17/2022,7/17/2022,7/17/2022,368,2022 Q3
363,363,7/10/2022,7/10/2022,7/10/2022,7/10/2022,363,2022 Q3
233,233,7/3/2022,7/3/2022,7/3/2022,7/3/2022,233,2022 Q3
348,348,6/26/2022,6/26/2022,6/26/2022,6/26/2022,42,2022 Q3
284,284,6/19/2022,6/19/2022,6/26/2022,6/26/2022,306,2022 Q2
355,355,6/12/2022,6/12/2022,6/19/2022,6/19/2022,284,2022 Q2
278,278,6/5/2022,6/5/2022,6/12/2022,6/12/2022,355,2022 Q2
313,313,5/29/2022,5/29/2022,6/5/2022,6/5/2022,278,2022 Q2
332,332,5/22/2022,5/22/2022,5/29/2022,5/29/2022,313,2022 Q2
307,307,5/15/2022,5/15/2022,5/22/2022,5/22/2022,332,2022 Q2
306,306,5/8/2022,5/8/2022,5/15/2022,5/15/2022,307,2022 Q2
260,260,5/1/2022,5/1/2022,5/8/2022,5/8/2022,306,2022 Q2
301,301,4/24/2022,4/24/2022,5/1/2022,5/1/2022,260,2022 Q2
217,217,4/17/2022,4/17/2022,4/24/2022,4/24/2022,301,2022 Q2
292,292,4/10/2022,4/10/2022,4/17/2022,4/17/2022,217,2022 Q2
296,296,4/3/2022,4/3/2022,4/10/2022,4/10/2022,292,2022 Q2
281,281,3/27/2022,3/27/2022,4/3/2022,4/3/2022,296,2022 Q2
323,323,3/20/2022,3/20/2022,3/27/2022,3/27/2022,41,2022 Q2
306,306,3/13/2022,3/13/2022,3/27/2022,3/27/2022,240,2022 Q1
296,296,3/6/2022,3/6/2022,3/20/2022,3/20/2022,323,2022 Q1
251,251,2/27/2022,2/27/2022,3/13/2022,3/13/2022,306,2022 Q1
224,224,2/20/2022,2/20/2022,3/6/2022,3/6/2022,296,2022 Q1
319,319,2/13/2022,2/13/2022,2/27/2022,2/27/2022,251,2022 Q1
303,303,2/6/2022,2/6/2022,2/20/2022,2/20/2022,224,2022 Q1
339,339,1/30/2022,1/30/2022,2/13/2022,2/13/2022,319,2022 Q1
271,271,1/23/2022,1/23/2022,2/6/2022,2/6/2022,303,2022 Q1
250,250,1/16/2022,1/16/2022,1/30/2022,1/30/2022,339,2022 Q1
328,328,1/9/2022,1/9/2022,1/23/2022,1/23/2022,271,2022 Q1
269,269,1/2/2022,1/2/2022,1/16/2022,1/16/2022,250,2022 Q1
0,0,0,0,1/9/2022,1/9/2022,328,2022 Q1
0,0,0,0,1/2/2022,1/2/2022,269,2022 Q1
